Guid,AccountId,LastName,FirstName,Salutation,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,HasOptedOutOfEmail,EmailBouncedReason,EmailBouncedDate,Jigsaw,ContactSource,TitleType,DepartmentGroup,BuyerAttributes,ccrz__CompanyName__c,ccrz__CompanyType__c,ccrz__DataId__c,ccrz__IsPortalUser__c,ccrz__SelfRegistered__c,Product_Areas__c
066f3345-ac58-40e5-94c1-30cd90748c16,a54754e4-4805-43a3-bb28-c16c0017b759,Kalvin,Lissie,#N/A,#N/A,#N/A,#N/A,3293,#N/A,#N/A,#N/A,#N/A,32 Railway Street,GLENTHOMPSON,VIC,#N/A,Australia,#N/A,#N/A,#N/A,(03) 5338 3983,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+657@gmail.com,CEO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
0739a6fa-30c9-4ccf-93d9-edbb12014bc0,7dc1ee3d-08f3-49dc-85eb-0eabb0323b05,Giffer,Edie,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,+33 0 1 42 14 20 00,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+476@gmail.com,COO,#N/A,#N/A,#N/A,1978-11-24,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
07404b43-552e-4ff0-ba44-7f60500d4c43,4d64b258-2b9a-4a7f-a7b8-7e2cdf1202e9,Elwyn,Aridatha,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100 Art Rooney Avenue,Pittsburgh,PA,15212,USA,#N/A,#N/A,#N/A,(511) 965-2668,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+825@gmail.com,CEO,#N/A,#N/A,#N/A,#N/A,"Gregory J. (Greg) Goff is Chairman, President and Chief Executive Officer for Andeavor. He is also Chairman and Chief Executive Officer of Andeavor Logistics GP, LLC.",false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
074d8168-e15a-47f1-ae3f-ac2b61f1f45b,e24e2d85-2d74-4a38-b5e0-338c2f0c4104,Thedric,Margie,#N/A,10 Wingfield St,Annerley,QLD,4103,Australia,#N/A,#N/A,#N/A,10 Wingfield St,Annerley,QLD,4103,Australia,#N/A,#N/A,#N/A,(07) 6810 8117,(07) 6810 8117,0418 861 707,#N/A,#N/A,(07) 6810 8117,jmanningcongagdo+53@gmail.com,Owner,CEO,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
078ac546-2939-4ba1-bc74-bdc9f57e1932,5fcf91c1-8779-4772-9348-6848df2650ba,Loren,Joellyn,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1 AT&T Way,Arlington,TX,76011,USA,#N/A,#N/A,#N/A,(323) 387-7082,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+594@gmail.com,CEO,#N/A,#N/A,#N/A,#N/A,"Born in Wichita, Kansas, Darren Woods is a graduate of Texas A&M University, where he earned a Bachelor of Science degree in electrical engineering. He also holds a Master of Business Administration degree from Northwestern's Kellogg School of Management in Evanston, Illinois.",false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
07be4c68-bc29-4fa5-aa55-41ac0560718e,9150e3cb-c65b-41f2-8d78-7cb34f641f9c,Derrik,Lissie,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(319)461-4463,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+311@gmail.com,COO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
09027682-636c-43d4-8856-581431f10414,8dcc54a5-7dc8-4f9a-8c9d-514e1c74ff58,Walton,Gilligan,#N/A,#N/A,#N/A,#N/A,2454,#N/A,#N/A,#N/A,#N/A,26 Dalgarno Street,KALANG,NSW,#N/A,Australia,#N/A,#N/A,#N/A,(03) 5338 3999,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+708@gmail.com,CFO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
09e31342-8f30-42da-b499-d364bf4dd585,23cfc53e-9bb3-4a1b-ad25-c82babba634b,Hank,Cloris,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(205) 218-9361,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+408@gmail.com,CEO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
0a832893-78b0-452b-9c1e-ece68cc86921,956d6429-6ea8-4f86-9d3c-e6b0ad823938,Tris,Madalyn,#N/A,16 Hinterland Cr,Algester,QLD,4115,Australia,#N/A,#N/A,#N/A,16 Hinterland Cr,Algester,QLD,4115,Australia,#N/A,#N/A,#N/A,(07) 7004 7881,(07) 7004 7881,0424 175 439,#N/A,#N/A,(07) 7004 7881,jmanningcongagdo+51@gmail.com,Account Executive,Sales,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
0aabf3ac-c683-46f8-b729-3b5322d9d384,f359fb9f-3d11-455f-b387-c7db9ca17d06,Thornton,Maris,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,24 Willie Mays Plaza,San Francisco,CA,94107,USA,#N/A,#N/A,#N/A,(809) 251-1133,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+132@gmail.com,"President, Global Fabric Care",#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
0b8f2826-c7d6-490f-9465-19b652bd8dd4,23cfc53e-9bb3-4a1b-ad25-c82babba634b,Fee,Giacinta,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(440)475-1490,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+308@gmail.com,CEO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
0bcb5451-a736-49ff-852a-5e400e69935e,f42cb8b3-4acf-4191-814e-3577bb0ffb1a,Curran,Bridget,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,39 Crown Street,London,#N/A,SW6 0EP,UK,#N/A,#N/A,#N/A,83 6365 8742,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+116@gmail.com,SVP,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
0c0128ac-5873-4e85-9fd6-4d90ba71d5ff,98bf8492-6537-4510-ab5e-990bc75291c3,Titus,Clare,#N/A,#N/A,#N/A,#N/A,2454,#N/A,#N/A,#N/A,#N/A,32 Railway Street,KALANG,NSW,#N/A,Australia,#N/A,#N/A,#N/A,(03) 5338 4049,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+813@gmail.com,CEO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
0c344e9a-756b-456a-bc69-e9721e29fe1d,a5d348f2-0613-4e8d-9f33-f73bba260c8d,Oswell,Appolonia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(440)475-1489,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+202@gmail.com,CEO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
0c80e13a-6f59-4cc2-bae5-4151fcceb231,e3d84881-dc38-4472-8750-bb58f11c7afe,Sterling,Louisa,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14 Ross Road,Marple,#N/A,SK6 4HJ,UK,#N/A,#N/A,#N/A,078 0017 4455,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+59@gmail.com,CEO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
0cc2acfc-0534-409d-ad32-70e88820f920,a54754e4-4805-43a3-bb28-c16c0017b759,Gran,Kellen,#N/A,45 Spring Street,Melbourne,VIC,3000,Australia,#N/A,#N/A,#N/A,45 Spring Street,Melbourne,VIC,3000,Australia,#N/A,#N/A,#N/A,(03) 6648 8765,(03) 6648 8765,0420 223 112,#N/A,#N/A,(03) 6648 8765,jmanningcongagdo+691@gmail.com,Account Executive,Sales,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
0ce14199-3287-40e0-baab-89f8bc27ad81,8dcc54a5-7dc8-4f9a-8c9d-514e1c74ff58,Phillipe,Zsazsa,#N/A,#N/A,#N/A,#N/A,2347,#N/A,#N/A,#N/A,#N/A,88 Bailey Street,CARODA,NSW,#N/A,Australia,#N/A,#N/A,#N/A,(03) 5338 3997,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+706@gmail.com,SVP,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
0ce659e1-be19-4495-9595-30c5ad692eb0,ca7315d6-f954-48eb-9235-90615da66e72,Kristopher,Raynell,#N/A,#N/A,#N/A,#N/A,3293,#N/A,#N/A,#N/A,#N/A,32 Railway Street,GLENTHOMPSON,VIC,#N/A,Australia,#N/A,#N/A,#N/A,(03) 5338 4022,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+759@gmail.com,CEO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
0dac9993-d6a7-4936-8335-3c935da7bbe1,ce4c26fb-1ad5-4b49-85cf-3a44ae2b56da,Curry,Daphne,#N/A,#N/A,#N/A,#N/A,3293,#N/A,#N/A,#N/A,#N/A,88 Bailey Street,GLENTHOMPSON,VIC,#N/A,Australia,#N/A,#N/A,#N/A,(03) 5338 4069,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+860@gmail.com,SVP,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
0db88c90-bd0c-47b0-adcb-4cd5f46326fb,f359fb9f-3d11-455f-b387-c7db9ca17d06,Mahmoud,Gussie,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(319)461-4464,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+355@gmail.com,CEO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
0e3a1d9e-8afb-4187-bd3b-7bad57661265,6851482d-b91e-4fb8-a48f-8b4d2a934e77,Abramo,Binnie,#N/A,#N/A,#N/A,#N/A,3293,#N/A,#N/A,#N/A,#N/A,32 Railway Street,GLENTHOMPSON,VIC,#N/A,Australia,#N/A,#N/A,#N/A,(03) 5338 4013,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+750@gmail.com,CEO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
0e683475-98cc-4397-b334-194f653a4ac0,df4755b1-3f79-45df-b567-01f63dbd7355,Bank,Rheba,#N/A,#N/A,#N/A,#N/A,2454,#N/A,#N/A,#N/A,#N/A,88 Bailey Street,KALANG,NSW,#N/A,Australia,#N/A,#N/A,#N/A,(03) 5338 3973,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+647@gmail.com,SVP,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
0e96a4ae-d35b-44e1-86f1-da617ebe709b,98bf8492-6537-4510-ab5e-990bc75291c3,Maurise,Harlene,#N/A,#N/A,#N/A,#N/A,3293,#N/A,#N/A,#N/A,#N/A,88 Bailey Street,GLENTHOMPSON,VIC,#N/A,Australia,#N/A,#N/A,#N/A,(03) 5338 4048,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+812@gmail.com,SVP,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
0ee013f9-8dc6-4d0d-89f1-6111a70d3019,98bf8492-6537-4510-ab5e-990bc75291c3,Innis,Eada,#N/A,347-359 Milperra Road,Bankstown Airport,NSW,2041,Australia,#N/A,#N/A,#N/A,347-359 Milperra Road,Bankstown Airport,NSW,2041,Australia,#N/A,#N/A,#N/A,(02) 8975 6304,(02) 8975 6304,0420 299 648,#N/A,#N/A,(02) 8975 6304,jmanningcongagdo+142@gmail.com,"Director, Customer Service",Operations,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
0f2c7bb7-7bb7-456e-95f1-b7c1e3cabb6b,ff414bb9-ae41-453a-913f-cafb0aaa2c8d,Jermayne,Maiga,#N/A,460 Waymouth St,Adelaide,SA,5000,Australia,#N/A,#N/A,#N/A,460 Waymouth St,Adelaide,SA,5000,Australia,#N/A,#N/A,#N/A,(08) 6471 7134,(08) 6471 7134,0424 210 803,#N/A,#N/A,(08) 6471 7134,jmanningcongagdo+145@gmail.com,"EVP, Business Development",Business Development,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
0f767a93-08c0-4c12-9735-eeea80e02240,aa1d7100-1ee9-427c-8a33-ddd320408973,Raoul,Zaria,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0383 7228120,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+550@gmail.com,CIO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
0f840fea-0f28-4cea-a659-d592af5be73a,2d03b667-75fa-4b27-a491-7c8800deadd2,Haslett,Jenny,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(730) 686-2448,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+458@gmail.com,EVP Commerical and Specialty Business Division,#N/A,#N/A,#N/A,#N/A,"Brian T. Griffin serves as executive vice president and president of the Commercial & Specialty Business Division (CSBD) for Anthem, Inc. As a member of the company’s executive leadership team, he is responsible for Anthem’s commercial business, including: State-based Exchanges; Individual, Small Group and Large Group local business; National Accounts; and Specialty Products, including dental, vision, life, disability, and workers’ compensation. Mr. Griffin also leads Anthem’s Pharmacy Division, overseeing a multi-year enterprise strategy and managing the company’s strategic pharmacy benefit management (PBM) relationship.",false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
102c6f6a-3f68-4d40-8463-a924621995f2,aa1d7100-1ee9-427c-8a33-ddd320408973,Rutledge,Rheta,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14 Ross Road,Marple,#N/A,SK6 4HJ,UK,#N/A,#N/A,#N/A,81 0017 4455,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+108@gmail.com,CEO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
1066b770-4479-4e4e-b064-b72d42af62d8,d4481c2e-3672-42d1-8e22-c3c1833ca148,Ase,Christen,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,+41 22 343 80 14,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+564@gmail.com,"Vice President, IT",#N/A,#N/A,#N/A,1977-09-26,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
10a7f634-df90-47ee-84d2-03c83e89dfb7,4dab3cba-42dd-4da0-a5c7-52615ceec682,Falito,Jodie,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,202-555-0105,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+198@gmail.com,CEO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Prodly,#N/A,#N/A,false,false,#N/A
